timestamp ecg
643708959916482082 -220
643708959924167949 -203
643708959931853816 -194
643708959939539683 -196
643708959947225550 -206
643708959954911417 -198
643708959962597284 -179
643708959970283151 -172
643708959977969018 -172
643708959985654885 -164
643708959993340752 -162
643708960001026619 -162
643708960008712486 -152
643708960016398353 -147
643708960024084220 -160
643708960031770087 -167
643708960039455954 -164
643708960047141821 -162
643708960054827688 -150
643708960062513555 -138
643708960070199422 -135
643708960077885289 -138
643708960085571208 -133
643708960093257075 -130
643708960100942942 -126
643708960108628809 -126
643708960116314676 -135
643708960124000543 -145
643708960131686410 -145
643708960139372277 -140
643708960147058144 -121
643708960154744011 -101
643708960162429878 -113
643708960170115745 -121
643708960177801612 -104
643708960185487479 -109
643708960193173346 -123
643708960200859213 -111
643708960208545080 -109
643708960216230947 -121
643708960223916814 -106
643708960231602681 -87
643708960239288548 -92
643708960246974415 -87
643708960254660282 -70
643708960262346149 -82
643708960270032016 -99
643708960277717883 -92
643708960285403750 -87
643708960293089617 -97
643708960300775484 -94
643708960308461351 -72
643708960316147218 -58
643708960323833085 -63
643708960331518952 -65
643708960339204819 -70
643708960346890686 -75
643708960354576553 -72
643708960362262420 -70
643708960369948287 -77
643708960377634154 -80
643708960385320021 -77
643708960393005888 -67
643708960400691755 -60
643708960408377622 -53
643708960416063489 -48
643708960423749356 -50
643708960431435223 -53
643708960439121090 -55
643708960446806957 -63
643708960454492824 -63
643708960462178691 -58
643708960469864558 -53
643708960477550425 -43
643708960485236292 -31
643708960492922159 -38
643708960500608026 -46
643708960508293893 -43
643708960515979760 -46
643708960523665627 -50
643708960531351494 -50
643708960539037361 -50
643708960546723228 -46
643708960554409095 -43
643708960562094962 -48
643708960569780829 -43
643708960577466696 -38
643708960585152563 -50
643708960592838430 -67
643708960600524297 -70
643708960608210164 -63
643708960615896031 -65
643708960623581898 -67
643708960631267765 -43
643708960638953632 -2
643708960646639551 2
643708960654325418 -16
643708960662011285 -26
643708960669697152 -33
643708960677383019 -46
643708960685068886 -58
643708960692754753 -53
643708960700440620 -60
643708960708126487 -111
643708960715812354 -118
643708960723498221 121
643708960731184088 705
643708960738869955 1445
643708960746555822 1850
643708960754241689 1353
643708960761927556 242
643708960769613423 -324
643708960777299290 -177
643708960784985157 -123
643708960792671024 -235
643708960800356891 -206
643708960808042758 -164
643708960815728625 -201
643708960823414492 -201
643708960831100359 -181
643708960838786226 -177
643708960846472093 -155
643708960854157960 -135
643708960861843827 -138
643708960869529694 -135
643708960877215561 -133
643708960884901428 -133
643708960892587295 -109
643708960900273162 -72
643708960907959029 -58
643708960915644896 -48
643708960923330763 -16
643708960931016630 7
643708960938702497 24
643708960946388364 55
643708960954074231 87
643708960961760098 123
643708960969445965 194
643708960977131832 261
643708960984817699 286
643708960992503566 300
643708961000189433 329
643708961007875300 356
643708961015561167 339
643708961023247034 259
643708961030932901 147
643708961038618768 33
643708961046304635 -72
643708961053990502 -150
643708961061676369 -208
643708961069362236 -244
643708961077048103 -252
643708961084733970 -257
643708961092419837 -271
643708961100105704 -271
643708961107791571 -264
643708961115477438 -264
643708961123163305 -257
643708961130849172 -247
643708961138535039 -240
643708961146220906 -227
643708961153906773 -215
643708961161592640 -203
643708961169278507 -189
643708961176964374 -184
643708961184650241 -181
643708961192336108 -174
643708961200021975 -174
643708961207707894 -177
643708961215393761 -160
643708961223079628 -140
643708961230765495 -140
643708961238451362 -143
643708961246137229 -130
643708961253823096 -118
643708961261508963 -128
643708961269194830 -130
643708961276880697 -121
643708961284566564 -128
643708961292252431 -138
643708961299938298 -113
643708961307624165 -97
643708961315310032 -106
643708961322995899 -111
643708961330681766 -116
643708961338367633 -128
643708961346053500 -118
643708961353739367 -99
643708961361425234 -104
643708961369111101 -109
643708961376796968 -80
643708961384482835 -72
643708961392168702 -113
643708961399854569 -121
643708961407540436 -82
643708961415226303 -82
643708961422912170 -106
643708961430598037 -94
643708961438283904 -65
643708961445969771 -63
643708961453655638 -67
643708961461341505 -67
643708961469027372 -70
643708961476713239 -72
643708961484399106 -72
643708961492084973 -77
643708961499770840 -77
643708961507456707 -65
643708961515142574 -58
643708961522828441 -55
643708961530514308 -43
643708961538200175 -43
643708961545886042 -53
643708961553571909 -58
643708961561257776 -58
643708961568943643 -53
643708961576629510 -53
643708961584315377 -63
643708961592001244 -65
643708961599687111 -58
643708961607372978 -50
643708961615058845 -38
643708961622744712 -36
643708961630430579 -48
643708961638116446 -48
643708961645802313 -46
643708961653488180 -53
643708961661174047 -70
643708961668859914 -60
643708961676545781 -33
643708961684231648 -38
643708961691917515 -50
643708961699603382 -36
643708961707289249 -26
643708961714975116 -38
643708961722660983 -46
643708961730346850 -46
643708961738032717 -55
643708961745718584 -65
643708961753404451 -48
643708961761090318 -16
643708961768776241 -29
643708961776462108 -53
643708961784147975 -46
643708961791833842 -31
643708961799519709 -29
643708961807205576 -48
643708961814891443 -65
643708961822577310 -60
643708961830263177 -46
643708961837949044 -31
643708961845634911 -2
643708961853320778 16
643708961861006645 7
643708961868692512 -24
643708961876378379 -33
643708961884064246 -26
643708961891750113 -38
643708961899435980 -50
643708961907121847 -53
643708961914807714 -82
643708961922493581 -97
643708961930179448 111
643708961937865315 671
643708961945551182 1375
643708961953237049 1784
643708961960922916 1387
643708961968608783 315
643708961976294650 -344
643708961983980517 -213
643708961991666384 -82
643708961999352251 -206
643708962007038118 -230
643708962014723985 -179
643708962022409852 -186
643708962030095719 -184
643708962037781586 -160
643708962045467453 -174
643708962053153320 -186
643708962060839187 -162
643708962068525054 -140
643708962076210921 -130
643708962083896788 -130
643708962091582655 -135
643708962099268522 -130
643708962106954389 -92
643708962114640256 -48
643708962122326123 -41
643708962130011990 -46
643708962137697857 -9
643708962145383724 29
643708962153069591 46
643708962160755458 80
643708962168441325 140
643708962176127192 189
643708962183813059 230
643708962191498926 288
643708962199184793 337
643708962206870660 346
643708962214556527 349
643708962222242394 354
643708962229928261 303
643708962237614128 177
643708962245299995 46
643708962252985862 -48
643708962260671729 -130
643708962268357596 -203
643708962276043463 -244
643708962283729330 -261
643708962291415197 -264
643708962299101064 -261
643708962306786931 -266
643708962314472798 -276
643708962322158665 -271
643708962329844584 -249
643708962337530451 -240
643708962345216318 -249
643708962352902185 -242
643708962360588052 -220
643708962368273919 -201
643708962375959786 -191
